epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,148.105,0.39733,0.05265,0.0437,0.31302,0.83939,0.99708,1,0.995,0.92683,0.99708,1,0.995,0.995,0.37885,0.02835,0.00612,0.31317,0.81314,0.0011288,0.0011288,0.0011288
90,149.735,0.4136,0.04298,0.0408,0.34181,0.85982,0.99711,1,0.995,0.96283,0.99711,1,0.995,0.995,0.35793,0.01897,0.00342,0.29668,0.81639,0.0011189,0.0011189,0.0011189
91,151.355,0.44156,0.04569,0.04188,0.34805,0.84936,0.99712,1,0.995,0.89992,0.99712,1,0.995,0.995,0.44786,0.02615,0.00272,0.29607,0.82554,0.001109,0.001109,0.001109
92,153.018,0.4112,0.03843,0.03104,0.3214,0.83156,0.99712,1,0.995,0.95205,0.99712,1,0.995,0.995,0.37962,0.02401,0.00303,0.29906,0.81878,0.0010991,0.0010991,0.0010991
93,154.605,0.4275,0.06517,0.04225,0.33215,0.84872,0.99717,1,0.995,0.9632,0.99717,1,0.995,0.995,0.35855,0.02594,0.00456,0.28795,0.80075,0.0010892,0.0010892,0.0010892
94,156.276,0.40583,0.0507,0.05744,0.33132,0.84477,0.99716,1,0.995,0.95962,0.99716,1,0.995,0.995,0.36024,0.0264,0.00475,0.30944,0.79682,0.0010793,0.0010793,0.0010793
95,157.897,0.38035,0.03781,0.03629,0.31219,0.84201,0.99692,1,0.995,0.95541,0.99692,1,0.995,0.995,0.32488,0.02181,0.00462,0.27624,0.80075,0.0010694,0.0010694,0.0010694
96,159.52,0.40767,0.04352,0.04577,0.32803,0.84053,0.99705,1,0.995,0.93335,0.99705,1,0.995,0.995,0.35026,0.02565,0.0046,0.29932,0.80366,0.0010595,0.0010595,0.0010595
97,161.201,0.39365,0.04256,0.05776,0.31282,0.84689,0.99711,1,0.995,0.93942,0.99711,1,0.995,0.995,0.3557,0.02329,0.00414,0.28711,0.80949,0.0010496,0.0010496,0.0010496
98,162.88,0.39132,0.04054,0.04597,0.31413,0.84026,0.9971,1,0.995,0.93353,0.9971,1,0.995,0.995,0.34671,0.023,0.00384,0.28667,0.80688,0.0010397,0.0010397,0.0010397
99,164.524,0.39749,0.04686,0.03268,0.31931,0.83715,0.99704,1,0.995,0.93984,0.99704,1,0.995,0.995,0.37871,0.02275,0.00343,0.29532,0.80455,0.0010298,0.0010298,0.0010298
100,166.179,0.37165,0.03384,0.04065,0.30107,0.83378,1,1,0.995,0.94451,1,1,0.995,0.995,0.35352,0.01772,0.00324,0.28068,0.80483,0.0010199,0.0010199,0.0010199
101,167.814,0.3612,0.03892,0.04315,0.29563,0.83086,1,1,0.995,0.94653,1,1,0.995,0.995,0.35866,0.02225,0.00283,0.26426,0.80759,0.00101,0.00101,0.00101
102,169.478,0.38114,0.03629,0.0341,0.30932,0.83529,0.99721,1,0.995,0.96521,0.99721,1,0.995,0.995,0.32976,0.01989,0.00203,0.27502,0.79874,0.0010001,0.0010001,0.0010001
103,171.106,0.37311,0.04336,0.04196,0.3104,0.83216,0.99706,1,0.995,0.93878,0.99706,1,0.995,0.995,0.36976,0.02274,0.00233,0.27151,0.80287,0.0009902,0.0009902,0.0009902
